resultId,raceId,driverId,constructorId,number,grid,position,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId
1,1061,830,9,33,2,1,1,3,17,25:38.426,0 days 00:25:38.426000,14,00:01:30.013000,1
2,1061,1,131,44,1,2,2,2,17,+1.430,0 days 00:25:39.856000,17,00:01:29.937000,1
3,1061,822,131,77,3,3,3,1,17,+7.502,0 days 00:25:45.928000,17,00:01:29.958000,1
4,1061,844,6,16,4,4,4,0,17,+11.278,0 days 00:25:49.704000,16,00:01:30.163000,1
5,1061,846,1,4,6,5,5,0,17,+24.111,0 days 00:26:02.537000,16,00:01:30.566000,1
6,1061,817,1,3,7,6,6,0,17,+30.959,0 days 00:26:09.385000,17,00:01:30.640000,1
7,1061,4,214,14,11,7,7,0,17,+43.527,0 days 00:26:21.953000,17,00:01:31.773000,1
8,1061,20,117,5,10,8,8,0,17,+44.439,0 days 00:26:22.865000,17,00:01:31.687000,1
9,1061,847,3,63,8,9,9,0,17,+46.652,0 days 00:26:25.078000,17,00:01:32.208000,1
10,1061,839,214,31,13,10,10,0,17,+47.395,0 days 00:26:25.821000,16,00:01:32.183000,1
11,1061,832,6,55,9,11,11,0,17,+47.798,0 days 00:26:26.224000,10,00:01:31.991000,1
12,1061,842,213,10,12,12,12,0,17,+48.763,0 days 00:26:27.189000,17,00:01:32.072000,1
13,1061,8,51,7,17,13,13,0,17,+50.677,0 days 00:26:29.103000,12,00:01:32.139000,1
14,1061,840,117,18,15,14,14,0,17,+52.179,0 days 00:26:30.605000,12,00:01:32.210000,1
15,1061,841,51,99,14,15,15,0,17,+53.225,0 days 00:26:31.651000,14,00:01:32.457000,1
16,1061,852,213,22,16,16,16,0,17,+53.567,0 days 00:26:31.993000,14,00:01:32.270000,1
17,1061,849,3,6,18,17,17,0,17,+55.162,0 days 00:26:33.588000,17,00:01:32.143000,1
18,1061,854,210,47,19,18,18,0,17,+1:08.213,0 days 00:26:46.639000,15,00:01:32.567000,1
19,1061,853,210,9,20,19,19,0,17,+1:17.648,0 days 00:26:56.074000,3,00:01:33.462000,1
20,1061,815,9,11,5,\N,20,0,16,\N,,6,00:01:31.465000,76
21,1065,822,131,77,1,1,1,3,18,27:54.078,0 days 00:27:54.078000,9,00:01:23.540000,1
22,1065,830,9,33,3,2,2,2,18,+2.325,0 days 00:27:56.403000,9,00:01:23.502000,1
23,1065,817,1,3,5,3,3,1,18,+14.534,0 days 00:28:08.612000,17,00:01:24.291000,1
24,1065,846,1,4,4,4,4,0,18,+18.835,0 days 00:28:12.913000,9,00:01:24.554000,1
25,1065,1,131,44,2,5,5,0,18,+20.011,0 days 00:28:14.089000,9,00:01:24.253000,1
26,1065,844,6,16,8,6,6,0,18,+23.442,0 days 00:28:17.520000,18,00:01:24.677000,1
27,1065,832,6,55,7,7,7,0,18,+27.952,0 days 00:28:22.030000,8,00:01:24.918000,1
28,1065,841,51,99,10,8,8,0,18,+31.089,0 days 00:28:25.167000,10,00:01:25.126000,1
29,1065,815,9,11,9,9,9,0,18,+31.680,0 days 00:28:25.758000,12,00:01:24.211000,1
30,1065,840,117,18,12,10,10,0,18,+38.671,0 days 00:28:32.749000,8,00:01:25.349000,1
31,1065,4,214,14,13,11,11,0,18,+39.795,0 days 00:28:33.873000,8,00:01:25.225000,1
32,1065,20,117,5,11,12,12,0,18,+41.177,0 days 00:28:35.255000,8,00:01:25.493000,1
33,1065,839,214,31,14,13,13,0,18,+43.373,0 days 00:28:37.451000,8,00:01:25.613000,1
34,1065,849,3,6,16,14,14,0,18,+45.977,0 days 00:28:40.055000,9,00:01:25.711000,1
35,1065,847,3,63,15,15,15,0,18,+46.821,0 days 00:28:40.899000,15,00:01:25.835000,1
36,1065,852,213,22,17,16,16,0,18,+49.977,0 days 00:28:44.055000,18,00:01:25.847000,1
37,1065,853,210,9,20,17,17,0,18,+1:02.599,0 days 00:28:56.677000,7,00:01:26.613000,1
38,1065,9,51,88,19,18,18,0,18,+1:05.096,0 days 00:28:59.174000,12,00:01:26.772000,1
39,1065,854,210,47,18,19,19,0,18,+1:06.154,0 days 00:29:00.232000,7,00:01:26.819000,1
40,1065,842,213,10,6,\N,20,0,0,\N,,0,,3
41,1071,822,131,77,2,1,1,3,24,29:09.559,0 days 00:29:09.559000,8,00:01:12.300000,1
42,1071,830,9,33,1,2,2,2,24,+1.170,0 days 00:29:10.729000,9,00:01:12.114000,1
43,1071,832,6,55,5,3,3,1,24,+18.723,0 days 00:29:28.282000,13,00:01:13.167000,1
44,1071,815,9,11,3,4,4,0,24,+19.787,0 days 00:29:29.346000,13,00:01:13.110000,1
45,1071,1,131,44,20,5,5,0,24,+20.872,0 days 00:29:30.431000,5,00:01:12.357000,1
46,1071,846,1,4,7,6,6,0,24,+22.558,0 days 00:29:32.117000,8,00:01:12.994000,1
47,1071,844,6,16,6,7,7,0,24,+25.056,0 days 00:29:34.615000,4,00:01:13.140000,1
48,1071,842,213,10,4,8,8,0,24,+34.158,0 days 00:29:43.717000,4,00:01:13.342000,1
49,1071,839,214,31,10,9,9,0,24,+34.632,0 days 00:29:44.191000,11,00:01:13.615000,1
50,1071,20,117,5,11,10,10,0,24,+34.867,0 days 00:29:44.426000,5,00:01:13.558000,1
51,1071,817,1,3,8,11,11,0,24,+35.869,0 days 00:29:45.428000,9,00:01:13.463000,1
52,1071,4,214,14,9,12,12,0,24,+36.578,0 days 00:29:46.137000,4,00:01:13.397000,1
53,1071,841,51,99,14,13,13,0,24,+41.880,0 days 00:29:51.439000,11,00:01:13.627000,1
54,1071,840,117,18,15,14,14,0,24,+44.037,0 days 00:29:53.596000,9,00:01:13.666000,1
